               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.031491,             0.01391,                   0,             0.89729,              0.8589,             0.91248,             0.46833,            0.033802,           0.0059806,                   0,           0.0087804,           0.0087804,           0.0087804
                  38,            0.031539,             0.01441,                   0,             0.89881,             0.92635,              0.9405,             0.48668,            0.030911,           0.0056647,                   0,           0.0087151,           0.0087151,           0.0087151
                  39,            0.030385,            0.012293,                   0,             0.92992,             0.89555,             0.94217,              0.5514,            0.029266,           0.0058716,                   0,           0.0086485,           0.0086485,           0.0086485
                  40,            0.030677,            0.013794,                   0,              0.9404,             0.87113,             0.94311,             0.55041,            0.028257,           0.0056003,                   0,           0.0085805,           0.0085805,           0.0085805
                  41,            0.031338,            0.013518,                   0,             0.91913,             0.90798,             0.93683,             0.52814,            0.029655,           0.0058051,                   0,           0.0085111,           0.0085111,           0.0085111
                  42,            0.030582,            0.012626,                   0,              0.9447,              0.8385,             0.92341,             0.48501,            0.031921,           0.0056993,                   0,           0.0084404,           0.0084404,           0.0084404
                  43,            0.030217,            0.013925,                   0,             0.91817,             0.89571,             0.94081,             0.52374,            0.030303,           0.0053919,                   0,           0.0083684,           0.0083684,           0.0083684
                  44,             0.03002,            0.013569,                   0,             0.93032,             0.90184,             0.94658,             0.50254,            0.029881,           0.0056269,                   0,           0.0082952,           0.0082952,           0.0082952
                  45,            0.030114,            0.012984,                   0,             0.89691,             0.90798,             0.94344,             0.51564,            0.030465,           0.0056708,                   0,           0.0082207,           0.0082207,           0.0082207
                  46,            0.028734,            0.012441,                   0,             0.89368,              0.8773,             0.93645,             0.51772,            0.029975,           0.0058308,                   0,            0.008145,            0.008145,            0.008145
                  47,            0.030242,            0.013207,                   0,             0.94021,             0.87117,             0.93182,             0.53706,            0.028646,           0.0056776,                   0,           0.0080682,           0.0080682,           0.0080682
                  48,              0.0296,            0.012768,                   0,             0.92487,             0.90798,              0.9343,             0.49015,            0.029761,           0.0058699,                   0,           0.0079903,           0.0079903,           0.0079903
                  49,            0.029348,             0.01347,                   0,             0.89754,             0.92025,             0.92613,             0.46126,            0.031254,           0.0058564,                   0,           0.0079112,           0.0079112,           0.0079112
                  50,            0.029644,            0.013693,                   0,             0.88231,             0.92025,             0.92413,             0.51824,            0.028778,           0.0057785,                   0,           0.0078311,           0.0078311,           0.0078311
                  51,            0.029488,            0.012538,                   0,             0.89543,             0.89571,             0.92919,             0.50244,            0.029384,           0.0060167,                   0,             0.00775,             0.00775,             0.00775
                  52,             0.02843,            0.012312,                   0,             0.94071,              0.8773,             0.94913,             0.54005,            0.028667,           0.0058883,                   0,           0.0076679,           0.0076679,           0.0076679
                  53,            0.028829,            0.012007,                   0,             0.93037,             0.90169,             0.94672,             0.50864,            0.030018,           0.0057302,                   0,           0.0075848,           0.0075848,           0.0075848
                  54,            0.027813,            0.013053,                   0,             0.91772,             0.88954,             0.92524,              0.5019,            0.030432,           0.0056864,                   0,           0.0075009,           0.0075009,           0.0075009
                  55,            0.028588,            0.012212,                   0,             0.89369,             0.93252,             0.95006,             0.50676,            0.030084,           0.0057266,                   0,            0.007416,            0.007416,            0.007416
                  56,            0.027965,             0.01221,                   0,             0.88822,             0.92622,             0.94148,             0.51861,            0.030756,           0.0055402,                   0,           0.0073303,           0.0073303,           0.0073303
                  57,            0.028574,             0.01363,                   0,             0.92024,             0.92023,             0.94777,             0.50365,            0.029789,           0.0058535,                   0,           0.0072438,           0.0072438,           0.0072438
                  58,            0.028598,            0.013754,                   0,             0.89927,              0.8773,              0.9184,             0.51076,            0.029688,           0.0057957,                   0,           0.0071566,           0.0071566,           0.0071566
                  59,            0.026303,            0.012656,                   0,             0.91522,             0.86503,             0.93149,             0.47958,            0.030982,           0.0058211,                   0,           0.0070686,           0.0070686,           0.0070686
                  60,            0.027864,            0.012778,                   0,             0.94302,             0.91411,             0.94023,             0.47946,            0.032493,           0.0057037,                   0,           0.0069799,           0.0069799,           0.0069799
                  61,            0.027879,            0.013004,                   0,              0.9527,             0.86495,             0.95129,             0.50937,             0.03023,           0.0054546,                   0,           0.0068906,           0.0068906,           0.0068906
                  62,            0.027542,            0.012972,                   0,             0.90678,             0.89571,             0.94149,             0.46241,            0.031669,           0.0056886,                   0,           0.0068006,           0.0068006,           0.0068006
                  63,            0.027619,            0.013566,                   0,             0.89749,             0.91411,             0.93071,             0.52757,            0.029233,           0.0057652,                   0,           0.0067101,           0.0067101,           0.0067101
                  64,            0.026888,            0.012593,                   0,             0.92524,             0.91411,             0.92845,             0.52433,            0.030067,            0.005704,                   0,           0.0066191,           0.0066191,           0.0066191
                  65,            0.027415,            0.011557,                   0,             0.92545,             0.91389,             0.93959,             0.51375,            0.029665,           0.0057516,                   0,           0.0065276,           0.0065276,           0.0065276
                  66,            0.027426,            0.012575,                   0,             0.92589,             0.92025,             0.95859,             0.52624,            0.029654,           0.0056169,                   0,           0.0064356,           0.0064356,           0.0064356
                  67,            0.027553,             0.01115,                   0,             0.93788,             0.92638,              0.9464,             0.51631,            0.028416,           0.0056657,                   0,           0.0063432,           0.0063432,           0.0063432
                  68,            0.026926,            0.012542,                   0,             0.91175,             0.95079,             0.96343,             0.49702,            0.030044,           0.0057292,                   0,           0.0062505,           0.0062505,           0.0062505
                  69,            0.026232,            0.012169,                   0,             0.93123,             0.91384,             0.92601,             0.52172,            0.029474,           0.0057304,                   0,           0.0061574,           0.0061574,           0.0061574
